                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.96762,                0.88572,                 1.1151,                0.78796,                0.80465,                0.84174,                0.67365,                0.83819,                0.65155,                0.98047,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.91335,                0.83033,                 1.0697,                0.79281,                0.80232,                0.84467,                0.67976,                0.83239,                0.64357,                0.97856,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 0.9468,                0.87482,                 1.1148,                0.87485,                0.76397,                0.85357,                0.68423,                0.82624,                0.63284,                0.97571,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.92962,                0.83171,                 1.0912,                0.86178,                0.77046,                 0.8572,                 0.6892,                 0.8254,                0.62544,                0.97526,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.92724,                0.82991,                 1.0906,                 0.7879,                0.81763,                0.85894,                0.69116,                0.82576,                0.61994,                0.97507,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90072,                0.81938,                 1.0854,                0.86887,                0.76293,                0.85656,                0.69071,                0.82608,                0.61746,                0.97407,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 0.9211,                0.80645,                 1.0671,                0.79083,                0.83033,                0.85683,                0.68954,                0.82361,                0.61505,                0.97208,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92478,                0.82973,                 1.0745,                0.82309,                0.81352,                0.85841,                0.69202,                0.81984,                0.61174,                 0.9703,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.89687,                  0.793,                 1.0618,                0.82021,                0.82108,                0.86849,                0.69731,                0.81234,                0.61149,                0.96727,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.86326,                0.77827,                 1.0504,                0.81898,                0.82257,                0.86584,                0.69516,                0.80844,                0.61193,                0.96472,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92562,                0.81582,                 1.0561,                0.82415,                0.82147,                0.86929,                0.70153,                0.80283,                0.60833,                0.96128,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.89284,                0.80399,                 1.0739,                0.83172,                0.81026,                0.86247,                0.70255,                 0.8015,                 0.6043,                0.95968,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.90938,                0.78251,                 1.0494,                0.85383,                0.80476,                0.86973,                 0.7043,                0.79742,                0.59776,                 0.9571,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.88875,                0.77936,                 1.0662,                0.87466,                0.80062,                0.87129,                0.70373,                0.79361,                0.59344,                0.95441,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.88615,                0.78204,                 1.0643,                0.86847,                0.79859,                0.87161,                0.70464,                0.79167,                0.59092,                0.95282,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.90149,                0.78796,                  1.052,                0.87218,                0.79587,                0.87117,                0.70341,                0.78749,                0.58661,                0.95161,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.91752,                0.81505,                 1.0688,                0.89415,                0.77921,                  0.871,                0.70271,                0.78812,                0.58501,                0.95146,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                 0.8511,                 0.7411,                 1.0437,                0.90326,                0.78226,                0.87297,                  0.705,                0.78929,                0.58688,                0.95081,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.91236,                0.76256,                 1.0608,                0.91544,                0.77667,                 0.8724,                0.70779,                0.78664,                0.58483,                0.94872,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.87722,                0.76701,                 1.0602,                0.86124,                 0.8095,                0.87239,                0.70504,                0.78311,                0.58015,                 0.9475,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.88094,                0.75487,                 1.0377,                0.87564,                0.80331,                0.87354,                 0.7108,                0.77583,                0.57189,                0.94532,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.94487,                0.80679,                 1.0737,                0.88879,                0.80207,                0.87827,                0.71247,                0.77154,                0.56778,                0.94386,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.87281,                0.74475,                 1.0441,                0.90166,                0.80462,                0.87888,                0.71602,                0.76943,                0.56365,                0.94286,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.88279,                0.75402,                 1.0572,                0.90077,                0.80628,                0.87832,                0.71448,                0.76445,                0.55982,                0.94099,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.85445,                0.75135,                 1.0612,                0.88981,                0.81025,                0.88189,                0.71941,                0.76171,                0.55599,                0.93952,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 0.8685,                0.71272,                 1.0404,                0.90244,                0.80184,                0.88298,                0.71967,                 0.7628,                0.55519,                0.93949,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 0.8738,                0.74281,                 1.0429,                 0.8868,                0.80827,                0.88305,                0.72068,                 0.7602,                0.55404,                0.93882,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.89077,                0.76164,                  1.062,                0.89378,                0.81087,                0.88528,                0.71935,                0.75724,                0.55447,                0.93691,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.85367,                0.72613,                 1.0564,                0.87564,                0.82075,                0.88656,                 0.7222,                0.75484,                 0.5529,                0.93634,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.87197,                0.72985,                 1.0336,                0.87792,                0.82319,                0.88511,                0.72397,                0.75428,                0.55013,                0.93568,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.81029,                0.72813,                 1.0297,                0.90179,                0.80725,                0.88646,                0.72641,                0.75082,                0.54416,                0.93348,             4.7136e-05,             4.7136e-05,             4.7136e-05
