frame_id,tracker_id,class_id,x1,y1,x2,y2
1,1,1.0,577.7479,277.71286,693.36755,324.3253
1,2,0.0,452.03577,270.94977,472.34668,317.76135
1,3,0.0,123.3725,263.2652,140.49713,304.33978
1,4,2.0,239.76685,240.99493,309.51025,299.01117
1,5,0.0,361.8263,262.51495,384.8662,314.1137
2,1,1.0,577.6512435611652,277.7975766523149,693.2165734577922,324.3871757572053
2,2,0.0,450.6142269762753,270.92445108709137,469.9903222049321,315.65946064761266
2,3,0.0,123.11979704706616,263.2613843176952,140.30469262813025,304.47261740952905
2,4,2.0,239.52015630106558,240.92687483839993,309.38492141938593,299.0433188194959
2,5,0.0,362.443332615701,262.7715131267683,385.33383004512575,314.1327756771126
3,1,1.0,577.5586174635387,277.869717022329,693.1242996926859,324.45840478437265
3,2,0.0,449.5601452657157,271.3098933197303,468.6743726362811,315.56236918191945
3,3,0.0,122.91513614975982,263.249470066489,140.10285001483976,304.4467272406207
3,4,2.0,239.41195215293732,240.94564384344824,309.1746867448522,298.97066169474795
3,5,0.0,362.09859766746797,263.1024118091396,384.7534749986345,314.05299318072565
4,1,1.0,577.3885008829227,277.59237909851487,693.0447424677791,324.2188896745065
4,2,0.0,448.265538994146,271.1695402008732,467.1956285222702,315.2878406972076
4,3,0.0,122.72899419582974,263.0565621580066,139.9881026610983,304.38090449828087
4,4,2.0,239.3902367387118,240.9101570996801,309.16447416483516,298.9350659884111
4,5,0.0,360.0851626212043,263.0979416165384,382.65043247422614,313.75132809084255
5,1,1.0,577.1999476630369,277.5243060239283,692.9227564169864,324.17784471081933
5,2,0.0,446.0366266833866,270.3152704720831,465.5439831355783,316.2025300761407
5,3,0.0,122.36012573032714,262.7494936101921,139.8464282069813,304.5639690272376
5,4,2.0,239.40694755103743,240.92435820456325,309.1336702049148,298.906286013705
5,5,0.0,358.17830466723757,262.74546581791026,380.95994810356797,313.7988377039109
6,1,1.0,577.0613902682295,277.4974159053894,692.9054854081612,324.19604789758677
6,2,0.0,444.7395809578032,270.03369593743207,464.22836239097126,316.2795537391361
6,3,0.0,121.97998825057277,262.586712641711,139.65740930879758,304.8117215962931
6,4,2.0,239.7122687433942,240.7133213328641,309.72552289051646,298.92842929661197
6,5,0.0,356.95382119427245,262.5870115152132,379.7576288343503,313.6004323135621
7,1,1.0,576.975007601125,276.84347650813095,692.9780647780873,323.59966049202944
7,2,0.0,443.6599248063585,269.9567079942079,462.7363759768461,315.59679467188454
7,3,0.0,121.8867950293499,262.16936910633393,139.5332357537796,304.2287389854796
7,4,2.0,239.52146068621573,240.10414566305383,309.79120649670824,298.52590533058924
7,5,0.0,356.12235554139215,262.3784078046914,378.94443574212875,313.4388429782405
8,1,1.0,576.7407545138935,276.58713668682094,693.1510783291604,323.5150164302877
8,2,0.0,442.652686412125,269.90427722309346,461.2614912698177,314.66874571098504
8,3,0.0,121.6694823951283,261.9370562281939,139.44721437906531,304.23847172626904
8,4,2.0,239.4467963785382,239.96494465405124,309.8543102720652,298.5265868208817
8,5,0.0,355.7366828355721,262.41749264956815,378.4595823145148,313.28407386573485
9,1,1.0,577.0214460490912,277.08043731575566,692.7407605967824,323.70578464453496
9,2,0.0,441.05250422648925,270.08544086018657,459.80951328445184,315.0539676061688
9,3,0.0,121.56815313709727,262.1889195124315,139.4058788170126,304.54984612045394
9,4,2.0,239.40775297830317,240.55227019418604,309.44362913666725,298.8048543243031
9,5,0.0,355.65605824301275,262.94220434639686,378.0697077467663,313.1491696012497
10,1,1.0,576.8925969982593,276.92536038078526,693.0172461983418,323.715779537635
10,2,0.0,439.56121720533565,270.1196494569628,458.43709760057254,314.8838315315918
10,3,0.0,121.5742952272773,262.07467721208,139.42024629514341,304.3975531268954
10,4,2.0,239.35594751252367,240.35277031393662,309.54290559530807,298.7508078700945
10,5,0.0,354.2335105202527,263.3036835863698,376.6948697452105,313.53340188882066
11,1,1.0,576.932651566819,276.76058096141924,693.1907559713821,323.5933629725789
11,2,0.0,437.6349797527374,269.11332386829156,457.1657966691466,314.91920579600065
11,3,0.0,121.58830262840307,261.9537334344464,139.42579902317217,304.17773984792893
11,4,2.0,239.29943317694247,240.1187176694195,309.63530546297875,298.6627360893975
11,5,0.0,354.16672844323034,263.1496776062023,376.70748582862683,313.51878581424984
12,1,1.0,576.9293816122041,276.7699478854777,693.1968998962786,323.5959988401798
12,2,0.0,436.949347564997,268.88262765856564,456.86094105174067,315.0443806087825
12,3,0.0,121.60450838034397,261.9294007140283,139.40903255885928,304.01242356955083
12,4,2.0,239.2692649200213,240.0967907089083,309.7134999661302,298.7533292076818
12,5,0.0,353.97829039288695,262.80467204462735,376.70567080505805,313.70472608336195
13,1,1.0,576.9445803295193,276.8522554489874,693.0947239879209,323.61726855095475
13,2,0.0,436.3468020909117,269.2144197230946,456.4927013058853,315.3836477244262
13,3,0.0,121.61559100390068,261.92004414546597,139.43075275276402,303.9809779208023
13,4,2.0,239.27008723244035,240.13598149469792,309.7074811770277,298.8009250213051
13,5,0.0,353.68613221138213,262.63744126570367,376.4008746865674,313.75291429323875
14,1,1.0,576.9841820581426,276.9634717646848,692.9511526278548,323.6350609718693
14,2,0.0,435.34533717513204,269.5517178146968,455.2805570824553,315.0944300929877
14,3,0.0,121.61766865123,261.90984523988726,139.4764186801333,304.0406680167875
14,4,2.0,239.67246524268916,240.1780638599081,310.1452055278434,298.8668336833331
14,5,0.0,353.47415093246366,262.78343432185164,376.0118385030193,313.7740004744278
15,1,1.0,576.9882286255674,277.05590375156595,692.8474078511468,323.66575978677605
15,2,0.0,433.5841915085854,269.0945937313573,453.4411458589988,314.4642301776242
15,3,0.0,121.62395807022756,261.9590652735061,139.47529367350774,304.04688258492246
