                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3079,                 1.8828,                 1.0112,                 1.1122,                 0.6448,                0.47799,                0.52913,                0.31979,                0.61548,                 0.4522,                 0.4977,                0.25715,                  1.224,                 1.7482,                0.97012,                 1.1174,             0.00082981,             0.00082981,             0.00082981
                     24,                 1.2972,                 1.8765,                  1.001,                 1.1097,                0.69182,                0.48983,                0.53449,                0.32442,                0.66484,                  0.463,                0.50373,                 0.2581,                 1.2153,                 1.7379,                0.96478,                 1.1055,             0.00082621,             0.00082621,             0.00082621
                     25,                 1.2897,                 1.8532,                0.98664,                 1.1018,                0.65462,                0.48803,                0.53814,                0.32696,                0.62142,                0.46013,                0.50534,                0.25804,                 1.2083,                 1.7252,                0.95536,                 1.1004,             0.00082261,             0.00082261,             0.00082261
                     26,                 1.2792,                 1.8386,                 0.9776,                 1.0964,                0.63532,                0.50112,                0.54391,                0.33002,                0.62157,                0.46431,                0.50498,                0.25543,                 1.2031,                 1.7159,                0.94581,                 1.0969,             0.00081901,             0.00081901,             0.00081901
                     27,                 1.2677,                 1.8198,                 0.9624,                   1.09,                0.72292,                  0.494,                0.54845,                0.33136,                0.71232,                0.46558,                0.51276,                0.26158,                 1.2021,                 1.7038,                0.95251,                 1.0937,             0.00081541,             0.00081541,             0.00081541
                     28,                 1.2555,                 1.8049,                0.96048,                 1.0875,                0.66491,                0.50503,                0.55284,                0.33744,                0.63363,                0.47656,                0.51977,                0.26863,                 1.1886,                 1.6803,                0.92001,                 1.0887,             0.00081181,             0.00081181,             0.00081181
                     29,                 1.2561,                  1.803,                0.95445,                 1.0838,                0.65593,                0.51115,                0.55162,                0.33681,                0.63491,                0.47575,                0.51153,                0.26249,                 1.1763,                 1.6772,                0.93045,                 1.0828,             0.00080821,             0.00080821,             0.00080821
                     30,                 1.2452,                 1.7914,                0.94597,                 1.0794,                0.68894,                0.50576,                0.55568,                0.33949,                0.66588,                0.47438,                  0.523,                0.27068,                  1.173,                  1.669,                0.90946,                 1.0837,             0.00080461,             0.00080461,             0.00080461
                     31,                 1.2358,                   1.77,                0.93296,                 1.0727,                0.64135,                0.52462,                0.56383,                0.34521,                0.62929,                 0.4861,                0.52534,                 0.2701,                 1.1751,                 1.6612,                0.89845,                 1.0777,             0.00080101,             0.00080101,             0.00080101
                     32,                 1.2299,                 1.7653,                0.92573,                 1.0682,                0.64431,                0.52156,                0.55795,                0.34214,                0.62221,                0.48281,                 0.5212,                0.26766,                 1.1696,                 1.6586,                0.93089,                 1.0767,             0.00079741,             0.00079741,             0.00079741
