                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0033,                0.71807,                 0.9499,                0.57024,                0.39992,                0.43417,                0.27815,                 1.0898,                0.89867,                0.99854,              0.0006733,              0.0006733,              0.0006733
                     36,                0.99098,                 0.7074,                0.94511,                0.60845,                0.38385,                0.43968,                0.27963,                 1.0979,                0.89809,                0.99942,              0.0006634,              0.0006634,              0.0006634
                     37,                0.99894,                0.71119,                0.94995,                0.59717,                0.40572,                0.44918,                0.28814,                 1.0777,                0.85747,                0.99009,              0.0006535,              0.0006535,              0.0006535
                     38,                0.99806,                0.71253,                0.94769,                0.59789,                0.40646,                0.45305,                0.28907,                  1.084,                0.85924,                0.99974,              0.0006436,              0.0006436,              0.0006436
                     39,                0.99594,                0.70455,                0.94364,                0.59451,                0.40458,                0.45173,                0.28978,                 1.0936,                0.86381,                0.99949,              0.0006337,              0.0006337,              0.0006337
                     40,                0.99341,                0.70248,                0.94338,                0.61667,                0.40436,                0.45621,                0.28873,                 1.0949,                0.87341,                0.99609,              0.0006238,              0.0006238,              0.0006238
                     41,                0.98697,                0.69915,                0.94091,                0.59741,                0.41272,                0.45822,                0.29245,                 1.0888,                0.86303,                0.99709,              0.0006139,              0.0006139,              0.0006139
                     42,                0.98419,                0.69676,                0.94211,                0.61192,                0.39852,                0.45536,                0.28979,                 1.0808,                0.85369,                0.99423,               0.000604,               0.000604,               0.000604
                     43,                0.97884,                0.69119,                0.93984,                0.60679,                0.39775,                0.45461,                  0.291,                 1.0861,                0.85589,                0.99677,              0.0005941,              0.0005941,              0.0005941
                     44,                0.97877,                0.68596,                0.94038,                0.61917,                0.40165,                0.45986,                 0.2918,                 1.0742,                0.84642,                0.99169,              0.0005842,              0.0005842,              0.0005842
                     45,                0.97761,                0.68661,                0.93846,                0.60972,                 0.4161,                0.45774,                0.28959,                 1.0819,                0.86491,                0.99396,              0.0005743,              0.0005743,              0.0005743
                     46,                0.97562,                0.68455,                0.93922,                0.57643,                 0.4101,                  0.449,                0.28777,                  1.083,                0.86407,                 0.9972,              0.0005644,              0.0005644,              0.0005644
                     47,                0.96755,                 0.6796,                0.93655,                 0.5795,                0.40973,                0.45294,                0.28915,                 1.0851,                0.85251,                0.99309,              0.0005545,              0.0005545,              0.0005545
                     48,                0.97204,                0.67965,                0.93729,                 0.5993,                0.42281,                  0.464,                0.29422,                  1.077,                0.84318,                0.99453,              0.0005446,              0.0005446,              0.0005446
                     49,                0.96934,                0.67547,                0.93546,                0.62159,                0.40687,                0.46336,                0.29707,                 1.0734,                0.84346,                0.99422,              0.0005347,              0.0005347,              0.0005347
                     50,                0.95685,                0.66899,                0.93234,                0.63199,                0.41672,                0.46186,                0.29447,                 1.0701,                  0.839,                0.99417,              0.0005248,              0.0005248,              0.0005248
                     51,                0.95813,                0.66312,                0.93286,                0.61898,                0.39812,                0.45381,                0.29173,                 1.0749,                0.85504,                0.99361,              0.0005149,              0.0005149,              0.0005149
                     52,                0.95217,                0.66373,                 0.9292,                0.62387,                 0.4056,                 0.4609,                0.29364,                 1.0701,                0.84221,                0.99016,               0.000505,               0.000505,               0.000505
                     53,                0.95571,                0.66169,                0.92976,                0.63731,                0.40432,                0.46041,                0.29472,                 1.0775,                0.85912,                0.99497,              0.0004951,              0.0004951,              0.0004951
                     54,                0.95937,                0.66291,                0.93027,                0.60862,                0.40674,                0.45662,                0.29101,                  1.081,                0.86462,                0.99949,              0.0004852,              0.0004852,              0.0004852
                     55,                0.95249,                0.65798,                0.93087,                0.57572,                0.41767,                0.45562,                0.29073,                 1.0707,                0.84449,                0.99351,              0.0004753,              0.0004753,              0.0004753
                     56,                0.95985,                0.66355,                0.93324,                0.60367,                0.41973,                0.46085,                0.29332,                 1.0744,                0.84089,                0.99716,              0.0004654,              0.0004654,              0.0004654
                     57,                0.94611,                0.65171,                0.92811,                0.62322,                 0.4115,                0.46277,                 0.2963,                 1.0757,                 0.8439,                0.99742,              0.0004555,              0.0004555,              0.0004555
                     58,                0.94783,                0.65245,                0.92674,                0.60633,                 0.4291,                0.46857,                0.30011,                 1.0647,                0.82901,                0.99297,              0.0004456,              0.0004456,              0.0004456
                     59,                0.94075,                0.64514,                0.92603,                0.61659,                0.41347,                0.46206,                0.29472,                 1.0698,                0.84172,                0.99498,              0.0004357,              0.0004357,              0.0004357
                     60,                0.94156,                0.64526,                0.92586,                0.61767,                0.41313,                0.45763,                0.29186,                 1.0707,                0.83528,                0.99497,              0.0004258,              0.0004258,              0.0004258
                     61,                 0.9438,                0.64569,                0.92664,                0.62061,                0.41412,                0.46981,                0.29923,                 1.0695,                0.83593,                0.99116,              0.0004159,              0.0004159,              0.0004159
                     62,                0.93983,                0.64057,                0.92662,                0.61584,                0.41103,                0.46265,                0.29455,                 1.0691,                0.84159,                0.99576,               0.000406,               0.000406,               0.000406
                     63,                0.94192,                0.64502,                 0.9243,                 0.6199,                0.41603,                0.47065,                0.29978,                 1.0662,                0.82836,                 0.9898,              0.0003961,              0.0003961,              0.0003961
                     64,                0.93265,                0.63469,                0.92215,                0.64555,                0.39744,                0.46504,                0.29592,                 1.0703,                0.84558,                0.99295,              0.0003862,              0.0003862,              0.0003862
                     65,                0.93383,                0.63341,                0.92303,                0.59685,                0.41497,                0.46572,                0.29567,                 1.0686,                0.82747,                0.99373,              0.0003763,              0.0003763,              0.0003763
                     66,                0.93137,                0.63375,                0.92186,                0.60197,                0.42832,                0.46831,                0.29951,                  1.061,                0.82053,                0.99275,              0.0003664,              0.0003664,              0.0003664
                     67,                0.92796,                0.62789,                0.91964,                0.60911,                0.41252,                0.46653,                0.29461,                 1.0665,                0.83159,                0.99455,              0.0003565,              0.0003565,              0.0003565
                     68,                0.92806,                0.63203,                0.92293,                0.60276,                0.42092,                0.46598,                 0.2966,                 1.0678,                0.83095,                 0.9945,              0.0003466,              0.0003466,              0.0003466
                     69,                0.92315,                0.62592,                0.91624,                0.61926,                  0.432,                0.47135,                0.30043,                 1.0655,                0.83557,                 0.9907,              0.0003367,              0.0003367,              0.0003367
                     70,                0.92225,                0.62412,                0.91783,                0.61395,                0.42157,                0.46829,                0.29939,                 1.0618,                0.82996,                0.98971,              0.0003268,              0.0003268,              0.0003268
                     71,                0.91452,                0.61462,                0.91673,                 0.6165,                0.42198,                0.46736,                 0.2975,                 1.0652,                0.83113,                 0.9925,              0.0003169,              0.0003169,              0.0003169
                     72,                0.91844,                0.61788,                0.91744,                0.61292,                0.42154,                0.47165,                0.30148,                 1.0671,                0.83342,                0.99558,               0.000307,               0.000307,               0.000307
                     73,                0.91173,                0.61548,                 0.9159,                0.61636,                0.42704,                0.47392,                 0.3033,                 1.0617,                0.81734,                0.99054,              0.0002971,              0.0002971,              0.0002971
                     74,                0.91394,                0.61493,                0.91508,                0.61547,                0.42428,                0.47443,                0.30219,                  1.064,                0.83099,                 0.9917,              0.0002872,              0.0002872,              0.0002872
                     75,                0.90971,                0.61107,                0.91259,                0.60366,                0.42696,                0.47067,                0.30107,                 1.0622,                0.82425,                0.99069,              0.0002773,              0.0002773,              0.0002773
                     76,                0.91205,                0.61187,                0.91237,                0.62109,                0.43064,                0.47544,                0.30256,                 1.0641,                0.82284,                0.99109,              0.0002674,              0.0002674,              0.0002674
                     77,                 0.9107,                0.60952,                0.91585,                0.58409,                0.42809,                0.46931,                0.30026,                 1.0637,                0.82916,                0.99028,              0.0002575,              0.0002575,              0.0002575
                     78,                0.90568,                0.60569,                0.91217,                0.60112,                0.42844,                0.47146,                0.30392,                 1.0575,                0.81831,                0.99082,              0.0002476,              0.0002476,              0.0002476
                     79,                0.90238,                0.60283,                0.91295,                0.61415,                0.43611,                0.47477,                0.30468,                 1.0564,                 0.8184,                0.98854,              0.0002377,              0.0002377,              0.0002377
                     80,                0.89943,                0.60005,                0.90843,                0.60335,                 0.4344,                0.47165,                0.30318,                  1.058,                0.82129,                0.99159,              0.0002278,              0.0002278,              0.0002278
                     81,                0.90347,                 0.6011,                 0.9103,                0.60164,                0.42822,                0.47168,                0.30082,                 1.0622,                0.82644,                0.99239,              0.0002179,              0.0002179,              0.0002179
                     82,                0.89814,                0.59543,                0.90796,                0.60581,                0.43354,                 0.4759,                0.30366,                 1.0623,                0.82442,                0.99135,               0.000208,               0.000208,               0.000208
                     83,                0.89324,                0.59413,                0.90884,                0.61784,                0.42339,                0.47328,                0.30178,                  1.063,                  0.829,                0.99196,              0.0001981,              0.0001981,              0.0001981
